Match Number,Round Number,Date,Location,Home Team,Away Team,Result
15,1,12/09/2021 17:00,Mercedes-Benz Stadium,Atlanta Falcons,Philadelphia Eagles,6 - 32
26,2,19/09/2021 17:00,Lincoln Financial Field,Philadelphia Eagles,San Francisco 49ers,11 - 17
33,3,28/09/2021 00:15,AT&T Stadium,Dallas Cowboys,Philadelphia Eagles,41 - 21
56,4,03/10/2021 17:00,Lincoln Financial Field,Philadelphia Eagles,Kansas City Chiefs,30 - 42
77,5,10/10/2021 17:00,Bank of America Stadium,Carolina Panthers,Philadelphia Eagles,18 - 21
94,6,15/10/2021 00:20,Lincoln Financial Field,Philadelphia Eagles,Tampa Bay Buccaneers,22 - 28
100,7,24/10/2021 20:05,Allegiant Stadium,Las Vegas Raiders,Philadelphia Eagles,33 - 22
118,8,31/10/2021 17:00,Ford Field,Detroit Lions,Philadelphia Eagles,6 - 44
127,9,07/11/2021 21:05,Lincoln Financial Field,Philadelphia Eagles,Los Angeles Chargers,24 - 27
139,10,14/11/2021 21:25,Empower Field at Mile High,Denver Broncos,Philadelphia Eagles,13 - 30
156,11,21/11/2021 18:00,Lincoln Financial Field,Philadelphia Eagles,New Orleans Saints,40 - 29
173,12,28/11/2021 18:00,MetLife Stadium,New York Giants,Philadelphia Eagles,13 - 7
189,13,05/12/2021 18:00,MetLife Stadium,New York Jets,Philadelphia Eagles,18 - 33
210,15,22/12/2021 00:00,Lincoln Financial Field,Philadelphia Eagles,Washington Football Team,27 - 17
230,16,26/12/2021 18:00,Lincoln Financial Field,Philadelphia Eagles,New York Giants,34 - 10
247,17,02/01/2022 18:00,FedExField,Washington Football Team,Philadelphia Eagles,16 - 20
261,18,09/01/2022 01:15,Lincoln Financial Field,Philadelphia Eagles,Dallas Cowboys,26 - 51
275,Wild Card Round,16/01/2022 18:00,Raymond James Stadium,Tampa Bay Buccaneers,Philadelphia Eagles,31 - 15
