Match Number,Round Number,Date,Location,Home Team,Away Team,Result
6,1,10/09/2023 20:25,Gillette Stadium,New England Patriots,Philadelphia Eagles,20 - 25
32,2,15/09/2023 00:15,Lincoln Financial Field,Philadelphia Eagles,Minnesota Vikings,34 - 28
34,3,25/09/2023 23:15,Raymond James Stadium,Tampa Bay Buccaneers,Philadelphia Eagles,11 - 25
61,4,01/10/2023 17:00,Lincoln Financial Field,Philadelphia Eagles,Washington Commanders,34 - 31
70,5,08/10/2023 20:05,SoFi Stadium,Los Angeles Rams,Philadelphia Eagles,14 - 23
82,6,15/10/2023 20:25,MetLife Stadium,New York Jets,Philadelphia Eagles,20 - 14
95,7,23/10/2023 00:20,Lincoln Financial Field,Philadelphia Eagles,Miami Dolphins,31 - 17
121,8,29/10/2023 17:00,FedExField,Washington Commanders,Philadelphia Eagles,31 - 38
126,9,05/11/2023 21:25,Lincoln Financial Field,Philadelphia Eagles,Dallas Cowboys,28 - 23
151,11,21/11/2023 01:15,GEHA Field at Arrowhead Stadium,Kansas City Chiefs,Philadelphia Eagles,17 - 21
168,12,26/11/2023 21:25,Lincoln Financial Field,Philadelphia Eagles,Buffalo Bills,37 - 34
184,13,03/12/2023 21:25,Lincoln Financial Field,Philadelphia Eagles,San Francisco 49ers,19 - 42
196,14,11/12/2023 01:20,AT&T Stadium,Dallas Cowboys,Philadelphia Eagles,33 - 13
217,15,19/12/2023 01:15,Lumen Field,Seattle Seahawks,Philadelphia Eagles,20 - 17
226,16,25/12/2023 21:30,Lincoln Financial Field,Philadelphia Eagles,New York Giants,33 - 25
252,17,31/12/2023 18:00,Lincoln Financial Field,Philadelphia Eagles,Arizona Cardinals,31 - 35
269,18,07/01/2024 21:25,MetLife Stadium,New York Giants,Philadelphia Eagles,27 - 10
278,Wild Card Round,16/01/2024 01:15,Raymond James Stadium,Tampa Bay Buccaneers,Philadelphia Eagles,32 - 9
