Match Number,Round Number,Date,Location,Home Team,Away Team,Result
5,1,13/09/2020 17:00,FedExField,Washington,Philadelphia Eagles,27 - 17
18,2,20/09/2020 17:00,Lincoln Financial Field,Philadelphia Eagles,Los Angeles Rams,19 - 37
34,3,27/09/2020 17:00,Lincoln Financial Field,Philadelphia Eagles,Cincinnati Bengals,23 - 23
63,4,05/10/2020 00:20,Levi's Stadium,San Francisco 49ers,Philadelphia Eagles,20 - 25
68,5,11/10/2020 17:00,Heinz Field,Pittsburgh Steelers,Philadelphia Eagles,38 - 29
87,6,18/10/2020 17:00,Lincoln Financial Field,Philadelphia Eagles,Baltimore Ravens,28 - 30
94,7,23/10/2020 00:20,Lincoln Financial Field,Philadelphia Eagles,New York Giants,22 - 21
119,8,02/11/2020 01:20,Lincoln Financial Field,Philadelphia Eagles,Dallas Cowboys,23 - 9
139,10,15/11/2020 18:00,MetLife Stadium,New York Giants,Philadelphia Eagles,27 - 17
156,11,22/11/2020 18:00,FirstEnergy Stadium,Cleveland Browns,Philadelphia Eagles,22 - 17
177,12,01/12/2020 01:15,Lincoln Financial Field,Philadelphia Eagles,Seattle Seahawks,17 - 23
190,13,06/12/2020 21:25,Lambeau Field,Green Bay Packers,Philadelphia Eagles,30 - 16
205,14,13/12/2020 21:25,Lincoln Financial Field,Philadelphia Eagles,New Orleans Saints,24 - 21
221,15,20/12/2020 21:05,State Farm Stadium,Arizona Cardinals,Philadelphia Eagles,33 - 26
238,16,27/12/2020 21:25,AT&T Stadium,Dallas Cowboys,Philadelphia Eagles,37 - 17
248,17,04/01/2021 01:20,Lincoln Financial Field,Philadelphia Eagles,Washington,14 - 20
