Match Number,Round Number,Date,Location,Home Team,Away Team,Result
9,1,11/09/2016 17:00,Lincoln Financial Field,Philadelphia Eagles,Cleveland Browns,29 - 10
32,2,20/09/2016 00:30,Soldier Field,Chicago Bears,Philadelphia Eagles,14 - 29
46,3,25/09/2016 20:25,Lincoln Financial Field,Philadelphia Eagles,Pittsburgh Steelers,34 - 3
67,5,09/10/2016 17:00,Ford Field,Detroit Lions,Philadelphia Eagles,24 - 23
87,6,16/10/2016 17:00,FedEx Field,Washington,Philadelphia Eagles,27 - 20
101,7,23/10/2016 17:00,Lincoln Financial Field,Philadelphia Eagles,Minnesota Vikings,21 - 10
119,8,31/10/2016 00:30,AT&T Stadium,Dallas Cowboys,Philadelphia Eagles,29 - 23
127,9,06/11/2016 18:00,MetLife Stadium,New York Giants,Philadelphia Eagles,28 - 23
139,10,13/11/2016 18:00,Lincoln Financial Field,Philadelphia Eagles,Atlanta Falcons,24 - 15
159,11,20/11/2016 21:25,CenturyLink Field,Seattle Seahawks,Philadelphia Eagles,26 - 15
177,12,29/11/2016 01:30,Lincoln Financial Field,Philadelphia Eagles,Green Bay Packers,13 - 27
182,13,04/12/2016 18:00,Paul Brown Stadium,Cincinnati Bengals,Philadelphia Eagles,32 - 14
201,14,11/12/2016 18:00,Lincoln Financial Field,Philadelphia Eagles,Washington,22 - 27
211,15,18/12/2016 18:00,M&T Bank Stadium,Baltimore Ravens,Philadelphia Eagles,27 - 26
225,16,23/12/2016 01:25,Lincoln Financial Field,Philadelphia Eagles,New York Giants,24 - 19
248,17,01/01/2017 18:00,Lincoln Financial Field,Philadelphia Eagles,Dallas Cowboys,17 - 13
