Match Number,Round Number,Date,Location,Home Team,Away Team,Result
10,1,10/09/2017 17:00,FedEx Field,Washington,Philadelphia Eagles,17 - 30
22,2,17/09/2017 17:00,Arrowhead Stadium,Kansas City Chiefs,Philadelphia Eagles,27 - 20
36,3,24/09/2017 17:00,Lincoln Financial Field,Philadelphia Eagles,New York Giants,27 - 24
60,4,01/10/2017 20:05,StubHub Center,Los Angeles Chargers,Philadelphia Eagles,24 - 26
72,5,08/10/2017 17:00,Lincoln Financial Field,Philadelphia Eagles,Arizona Cardinals,34 - 7
79,6,13/10/2017 00:25,Bank of America Stadium,Carolina Panthers,Philadelphia Eagles,23 - 28
107,7,24/10/2017 00:30,Lincoln Financial Field,Philadelphia Eagles,Washington,34 - 24
115,8,29/10/2017 17:00,Lincoln Financial Field,Philadelphia Eagles,San Francisco 49ers,33 - 10
127,9,05/11/2017 18:00,Lincoln Financial Field,Philadelphia Eagles,Denver Broncos,51 - 23
159,11,20/11/2017 01:30,AT&T Stadium,Dallas Cowboys,Philadelphia Eagles,9 - 37
170,12,26/11/2017 18:00,Lincoln Financial Field,Philadelphia Eagles,Chicago Bears,31 - 3
191,13,04/12/2017 01:30,CenturyLink Field,Seattle Seahawks,Philadelphia Eagles,24 - 10
205,14,10/12/2017 21:25,Los Angeles Memorial Coliseum,Los Angeles Rams,Philadelphia Eagles,35 - 43
218,15,17/12/2017 18:00,MetLife Stadium,New York Giants,Philadelphia Eagles,29 - 34
240,16,26/12/2017 01:30,Lincoln Financial Field,Philadelphia Eagles,Oakland Raiders,19 - 10
249,17,31/12/2017 18:00,Lincoln Financial Field,Philadelphia Eagles,Dallas Cowboys,0 - 6
