Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,07/09/2018 00:20,Lincoln Financial Field,Philadelphia Eagles,Atlanta Falcons,18 - 12
25,2,16/09/2018 17:00,Raymond James Stadium,Tampa Bay Buccaneers,Philadelphia Eagles,27 - 21
38,3,23/09/2018 17:00,Lincoln Financial Field,Philadelphia Eagles,Indianapolis Colts,20 - 16
54,4,30/09/2018 17:00,Nissan Stadium,Tennessee Titans,Philadelphia Eagles,26 - 23
74,5,07/10/2018 20:25,Lincoln Financial Field,Philadelphia Eagles,Minnesota Vikings,21 - 23
79,6,12/10/2018 00:20,MetLife Stadium,New York Giants,Philadelphia Eagles,13 - 34
101,7,21/10/2018 17:00,Lincoln Financial Field,Philadelphia Eagles,Carolina Panthers,17 - 21
109,8,28/10/2018 13:30,"Wembley Stadium, London",Jacksonville Jaguars,Philadelphia Eagles,18 - 24
147,10,12/11/2018 01:20,Lincoln Financial Field,Philadelphia Eagles,Dallas Cowboys,20 - 27
154,11,18/11/2018 21:25,Mercedes-Benz Superdome,New Orleans Saints,Philadelphia Eagles,48 - 7
169,12,25/11/2018 18:00,Lincoln Financial Field,Philadelphia Eagles,New York Giants,25 - 22
192,13,04/12/2018 01:15,Lincoln Financial Field,Philadelphia Eagles,Washington,28 - 13
205,14,09/12/2018 21:25,AT&T Stadium,Dallas Cowboys,Philadelphia Eagles,29 - 23
223,15,17/12/2018 01:20,Los Angeles Memorial Coliseum,Los Angeles Rams,Philadelphia Eagles,23 - 30
233,16,23/12/2018 18:00,Lincoln Financial Field,Philadelphia Eagles,Houston Texans,32 - 30
251,17,30/12/2018 21:25,FedEx Field,Washington,Philadelphia Eagles,0 - 24
