Match Number,Round Number,Date,Location,Home Team,Away Team,Result
15,1,07/09/2024 00:15,Arena Corinthians,Philadelphia Eagles,Green Bay Packers,34 - 29
17,2,17/09/2024 00:15,Lincoln Financial Field,Philadelphia Eagles,Atlanta Falcons,21 - 22
44,3,22/09/2024 17:00,Caesars Superdome,New Orleans Saints,Philadelphia Eagles,12 - 15
63,4,29/09/2024 17:00,Raymond James Stadium,Tampa Bay Buccaneers,Philadelphia Eagles,33 - 16
89,6,13/10/2024 17:00,Lincoln Financial Field,Philadelphia Eagles,Cleveland Browns,20 - 16
105,7,20/10/2024 17:00,MetLife Stadium,New York Giants,Philadelphia Eagles,3 - 28
110,8,27/10/2024 17:00,Paycor Stadium,Cincinnati Bengals,Philadelphia Eagles,17 - 37
125,9,03/11/2024 21:05,Lincoln Financial Field,Philadelphia Eagles,Jacksonville Jaguars,28 - 23
142,10,10/11/2024 21:25,AT&T Stadium,Dallas Cowboys,Philadelphia Eagles,6 - 34
166,11,15/11/2024 01:15,Lincoln Financial Field,Philadelphia Eagles,Washington Commanders,26 - 18
168,12,25/11/2024 01:20,SoFi Stadium,Los Angeles Rams,Philadelphia Eagles,20 - 37
182,13,01/12/2024 21:25,M&T Bank Stadium,Baltimore Ravens,Philadelphia Eagles,19 - 24
204,14,08/12/2024 18:00,Lincoln Financial Field,Philadelphia Eagles,Carolina Panthers,22 - 16
216,15,15/12/2024 21:25,Lincoln Financial Field,Philadelphia Eagles,Pittsburgh Steelers,27 - 13
237,16,22/12/2024 18:00,Northwest Stadium,Washington Commanders,Philadelphia Eagles,36 - 33
248,17,29/12/2024 18:00,Lincoln Financial Field,Philadelphia Eagles,Dallas Cowboys,41 - 7
269,18,05/01/2025 18:00,Lincoln Financial Field,Philadelphia Eagles,New York Giants,20 - 13
276,Wild Card Round,12/01/2025 21:30,Lincoln Financial Field,Philadelphia Eagles,Green Bay Packers,22 - 10
281,Divisional Round,19/01/2025 20:00,Lincoln Financial Field,Philadelphia Eagles,Los Angeles Rams,28 - 22
283,Conference Champs,26/01/2025 20:00,Lincoln Financial Field,Philadelphia Eagles,Washington Commanders,55 - 23
285,Super Bowl,09/02/2025 23:30,Caesars Superdome,Philadelphia Eagles,Kansas City Chiefs,40 - 22
