Match Number,Round Number,Date,Location,Home Team,Away Team,Result
8,1,08/09/2019 17:00,Lincoln Financial Field,Philadelphia Eagles,Washington,32 - 27
31,2,16/09/2019 00:20,Mercedes-Benz Stadium,Atlanta Falcons,Philadelphia Eagles,24 - 20
41,3,22/09/2019 17:00,Lincoln Financial Field,Philadelphia Eagles,Detroit Lions,24 - 27
49,4,27/09/2019 00:20,Lambeau Field,Green Bay Packers,Philadelphia Eagles,27 - 34
71,5,06/10/2019 17:00,Lincoln Financial Field,Philadelphia Eagles,New York Jets,31 - 6
86,6,13/10/2019 17:00,U.S. Bank Stadium,Minnesota Vikings,Philadelphia Eagles,38 - 20
105,7,21/10/2019 00:20,AT&T Stadium,Dallas Cowboys,Philadelphia Eagles,37 - 10
109,8,27/10/2019 17:00,New Era Field,Buffalo Bills,Philadelphia Eagles,13 - 31
128,9,03/11/2019 18:00,Lincoln Financial Field,Philadelphia Eagles,Chicago Bears,22 - 14
160,11,17/11/2019 21:25,Lincoln Financial Field,Philadelphia Eagles,New England Patriots,10 - 17
175,12,24/11/2019 18:00,Lincoln Financial Field,Philadelphia Eagles,Seattle Seahawks,9 - 17
186,13,01/12/2019 18:00,Hard Rock Stadium,Miami Dolphins,Philadelphia Eagles,37 - 31
208,14,10/12/2019 01:15,Lincoln Financial Field,Philadelphia Eagles,New York Giants,23 - 17
218,15,15/12/2019 18:00,FedEx Field,Washington,Philadelphia Eagles,27 - 37
237,16,22/12/2019 21:25,Lincoln Financial Field,Philadelphia Eagles,Dallas Cowboys,17 - 9
251,17,29/12/2019 21:25,MetLife Stadium,New York Giants,Philadelphia Eagles,17 - 34
260,Wild Card Round,05/01/2020 21:40,Lincoln Financial Field,Philadelphia Eagles,Seattle Seahawks,9 - 17
